,cadastral_,shape
10,71:28:000000:254,"MULTIPOLYGON (((4288154.99958794 7163502.64510406, 4288161.26712208 7163488.87857738, 4288089.39144583 7163457.61919493, 4288069.1464835 7163504.41541561, 4288140.18552602 7163535.29707114, 4288146.18832376 7163521.95964576, 4288154.99958794 7163502.64510406)))"
11,71:28:000000:255,"MULTIPOLYGON (((4288128.68568512 7163560.67199458, 4288137.44668307 7163541.39216079, 4288140.18552602 7163535.29707114, 4288069.1464835 7163504.41541561, 4288048.91850335 7163551.22859765, 4288117.92543438 7163581.20694753, 4288120.23350497 7163579.07998123, 4288128.68568512 7163560.67199458)))"
12,71:28:000000:256,"MULTIPOLYGON (((4288025.57469923 7163541.08230022, 4288045.82001255 7163494.28597272, 4287972.68145949 7163462.50097496, 4287952.45274985 7163509.29666784, 4288025.57469923 7163541.08230022)))"
13,71:28:000000:257,"MULTIPOLYGON (((4288045.82001255 7163494.28597272, 4288066.065088 7163447.48987082, 4287992.92688958 7163415.70524566, 4287972.68145949 7163462.50097496, 4288045.82001255 7163494.28597272)))"
14,71:28:000000:287,"MULTIPOLYGON (((4287607.76306193 7162908.85941547, 4287628.00926857 7162862.06788109, 4287549.56816851 7162827.98317663, 4287543.44212598 7162847.69605942, 4287535.89338954 7162871.9700374, 4287534.32436286 7162876.94135754, 4287607.76306193 7162908.85941547)))"
15,71:28:020214:2,"MULTIPOLYGON (((4290366.3262527 7161098.35204397, 4290374.64892049 7161095.97733581, 4290371.77734067 7161085.87550271, 4290363.4546826 7161088.25020474, 4290366.3262527 7161098.35204397)))"
16,71:28:020214:1,"MULTIPOLYGON (((4290358.42447474 7161100.53314833, 4290366.3262527 7161098.35204397, 4290363.4546826 7161088.25020474, 4290355.31956849 7161090.68993119, 4290356.53365913 7161094.58006481, 4290358.42447474 7161100.53314833)))"
17,71:28:020213:645,"MULTIPOLYGON (((4290469.58761191 7161359.29527696, 4290468.57512822 7161363.93452505, 4290460.41879649 7161406.09773578, 4290459.77326388 7161411.42812021, 4290551.09902947 7161420.54303633, 4290545.14799964 7161443.29462275, 4290554.16084626 7161445.97400036, 4290559.70977341 7161392.22537336, 4290559.11049359 7161369.18634967, 4290469.58761191 7161359.29527696), (4290534.07166085 7161381.56458924, 4290534.21477851 7161379.87958826, 4290535.9125431 7161380.00577902, 4290535.76969266 7161381.70777324, 4290534.07166085 7161381.56458924), (4290499.49927824 7161375.37899198, 4290499.64240317 7161373.69399288, 4290501.32321233 7161373.82045842, 4290501.19730816 7161375.52218335, 4290499.49927824 7161375.37899198)))"
18,71:28:020213:463,"MULTIPOLYGON (((4290477.27956015 7161096.33120025, 4290488.28651823 7161093.20017676, 4290485.62569911 7161083.57097327, 4290474.53398831 7161086.70332582, 4290477.27956015 7161096.33120025)))"
19,71:28:020213:102,"MULTIPOLYGON (((4290265.88253563 7161193.19591596, 4290273.33494971 7161191.54886144, 4290271.1439885 7161181.58912806, 4290263.69184958 7161183.25317115, 4290265.88253563 7161193.19591596)))"
20,71:28:020213:471,"MULTIPOLYGON (((4291500.40264273 7161635.85959156, 4291518.29457692 7161642.34028053, 4291536.02964841 7161648.55146128, 4291544.61849608 7161627.62633548, 4291549.63858528 7161611.58542803, 4291548.79842719 7161608.86212808, 4291548.54277095 7161608.78120506, 4291514.52708856 7161597.16869618, 4291503.92999916 7161626.21665863, 4291500.40264273 7161635.85959156)))"
21,71:28:020213:107,"MULTIPOLYGON (((4291201.33836183 7161521.81113251, 4291256.33469133 7161513.28962148, 4291254.01552187 7161473.82386878, 4291241.47959904 7161475.7225483, 4291242.06286877 7161479.36778237, 4291183.56852971 7161489.7293898, 4291184.14436983 7161490.75711372, 4291201.33836183 7161521.81113251)))"
22,71:28:020213:23,"MULTIPOLYGON (((4290496.37180049 7161122.15421783, 4290505.05366894 7161119.97766135, 4290502.1396175 7161108.2618158, 4290493.45776107 7161110.43836575, 4290496.37180049 7161122.15421783)))"
23,71:28:020213:496,"MULTIPOLYGON (((4290681.95054186 7161465.03346813, 4290693.08909731 7161468.08705893, 4290698.80720413 7161447.8036107, 4290687.59177575 7161444.17333387, 4290686.55016544 7161448.03123319, 4290686.41616348 7161450.2940245, 4290685.9573429 7161450.23328199, 4290681.95054186 7161465.03346813)))"
