,cadastral_,shape
718,71:28:020202:8,"MULTIPOLYGON (((4290311.37604404 7163091.64523363, 4290290.92449631 7163120.03613416, 4290321.00556091 7163143.27896412, 4290337.281621 7163155.80746312, 4290339.39556999 7163151.08182999, 4290375.71315096 7163167.47680041, 4290392.20201866 7163130.85139994, 4290389.84323422 7163129.69849566, 4290387.15394297 7163135.58927608, 4290352.22758547 7163117.04736559, 4290311.37604404 7163091.64523363)))"
719,71:28:020202:9,"MULTIPOLYGON (((4290304.22370589 7163136.35179687, 4290280.76700082 7163166.72829864, 4290305.02500699 7163185.30266414, 4290327.77141666 7163194.0060585, 4290335.19192021 7163179.38708164, 4290337.35504987 7163173.47057352, 4290337.6417604 7163167.95765734, 4290316.08548794 7163151.85705387, 4290319.71309248 7163146.30853099, 4290304.22370589 7163136.35179687)))"
720,71:28:020201:100,"MULTIPOLYGON (((4289960.88847712 7163459.76486117, 4289969.37115732 7163457.69341474, 4289967.24855621 7163447.78068409, 4289958.63420714 7163450.10922108, 4289960.88847712 7163459.76486117)))"
721,71:28:020201:101,"MULTIPOLYGON (((4289465.47111685 7163549.0887612, 4289472.92195091 7163547.18698821, 4289517.06778432 7163535.81896616, 4289511.43107318 7163508.26197235, 4289460.95410653 7163520.44304639, 4289459.8580892 7163525.22074347, 4289465.47111685 7163549.0887612)))"
722,71:28:020201:102,"MULTIPOLYGON (((4289864.33699528 7163481.34294255, 4289869.35631202 7163480.15904466, 4289867.31839077 7163471.31604851, 4289862.41911397 7163472.58306931, 4289864.33699528 7163481.34294255)))"
723,71:28:020201:103,"MULTIPOLYGON (((4289869.35631202 7163480.15904466, 4289874.20763885 7163479.0797917, 4289872.22085245 7163470.25299728, 4289867.31839077 7163471.31604851, 4289869.35631202 7163480.15904466)))"
724,71:28:020201:105,"MULTIPOLYGON (((4289656.82033715 7163534.66772217, 4289679.47924963 7163532.30643963, 4289679.29666554 7163530.38807548, 4289701.83101669 7163527.65463793, 4289698.52309355 7163504.80484061, 4289699.79098316 7163504.52993978, 4289692.29666409 7163469.92951581, 4289643.16893815 7163482.66862258, 4289643.33189869 7163483.32914336, 4289653.88516255 7163523.74742603, 4289655.53701355 7163525.25172385, 4289656.82033715 7163534.66772217)))"
725,71:28:020201:11,"MULTIPOLYGON (((4289311.61921904 7163522.76064739, 4289288.04710973 7163518.7593939, 4289289.60908155 7163533.03365663, 4289293.87192853 7163547.55478756, 4289302.14530411 7163545.09626292, 4289316.6943139 7163542.60768712, 4289311.61921904 7163522.76064739)))"
726,71:28:020201:12,"MULTIPOLYGON (((4289277.73704913 7163517.86631749, 4289253.42382684 7163514.19957582, 4289254.61579609 7163535.22940447, 4289275.91020155 7163533.46866163, 4289277.73704913 7163517.86631749)))"
727,71:28:020201:14,"MULTIPOLYGON (((4288565.93074404 7163634.41612999, 4288561.3727002 7163657.77995608, 4288583.84834528 7163662.17453678, 4288588.40632501 7163638.81068527, 4288565.93074404 7163634.41612999)))"
728,71:28:020201:15,"MULTIPOLYGON (((4288468.69514474 7163642.82841261, 4288452.51419805 7163719.81083624, 4288499.52443666 7163730.09888809, 4288523.83717003 7163735.91037324, 4288528.55565214 7163736.09215872, 4288534.95881408 7163728.93675123, 4288544.86723121 7163717.0002597, 4288548.05071464 7163708.95971875, 4288550.05052526 7163698.9652927, 4288551.71799523 7163699.29645041, 4288555.29018907 7163681.28653601, 4288561.3727002 7163657.77995608, 4288547.41371529 7163653.47411073, 4288543.49280227 7163657.70053852, 4288468.69514474 7163642.82841261)))"
729,71:28:020201:16,"MULTIPOLYGON (((4288466.6287648 7163634.24035817, 4288559.52216021 7163653.28609564, 4288563.75008812 7163631.61062698, 4288588.73670175 7163637.13933771, 4288599.67982162 7163580.23321059, 4288484.3530373 7163556.16365466, 4288466.6287648 7163634.24035817)))"
730,71:28:020201:17,"MULTIPOLYGON (((4289266.7599881 7163617.00678829, 4289337.17037658 7163598.37756875, 4289323.03742525 7163560.00366676, 4289260.43813164 7163575.87536362, 4289266.7599881 7163617.00678829)))"
731,71:28:020201:18,"MULTIPOLYGON (((4290064.94471977 7163461.46219407, 4290082.78945053 7163457.15222509, 4290083.11145399 7163458.21827871, 4290090.99577758 7163455.85007543, 4290083.59049619 7163431.38188253, 4290081.06050071 7163421.45861766, 4290080.0263769 7163386.80835158, 4290061.08698161 7163391.611532, 4290050.82041387 7163394.5781866, 4290061.03658147 7163441.51247402, 4290064.94471977 7163461.46219407)))"
732,71:28:020201:19,"MULTIPOLYGON (((4288812.07814993 7163619.24936075, 4288815.68958044 7163634.47812892, 4288869.74760418 7163622.31329327, 4288867.31581295 7163612.06484044, 4288882.47437775 7163608.39441116, 4288874.63773529 7163576.65445964, 4288868.87466626 7163578.01933502, 4288805.87134462 7163593.06062923, 4288812.07814993 7163619.24936075)))"
733,71:28:020201:21,"MULTIPOLYGON (((4290083.59049619 7163431.38188253, 4290089.17241707 7163449.89409851, 4290124.44201381 7163440.46454082, 4290118.72138135 7163408.76119242, 4290119.67388578 7163407.84512086, 4290116.50895798 7163397.4558337, 4290112.51199972 7163398.92983146, 4290107.2867874 7163385.86968203, 4290104.49131017 7163380.66011964, 4290099.31089114 7163380.2145254, 4290088.65884214 7163383.47631519, 4290080.0263769 7163386.80835158, 4290081.27254197 7163395.98668029, 4290082.01316718 7163401.04154794, 4290081.90868897 7163404.12050272, 4290081.97111536 7163420.03315492, 4290081.06050071 7163421.45861766, 4290083.59049619 7163431.38188253)))"
734,71:28:020201:218,"MULTIPOLYGON (((4288745.49019571 7163764.36291279, 4288787.80507771 7163761.68141798, 4288786.317814 7163737.93513362, 4288743.98583657 7163740.59987678, 4288745.49019571 7163764.36291279)))"
735,71:28:020201:219,"MULTIPOLYGON (((4288651.790905 7163773.38568532, 4288702.64287327 7163769.90887615, 4288699.67729169 7163745.98150617, 4288649.17464273 7163752.29226728, 4288651.790905 7163773.38568532)))"
736,71:28:020201:22,"MULTIPOLYGON (((4289586.66701981 7163542.49934947, 4289605.11395849 7163535.44367063, 4289625.31976263 7163531.31875065, 4289653.88516255 7163523.74742603, 4289643.33189869 7163483.32914336, 4289580.08998877 7163500.33543397, 4289586.66701981 7163542.49934947)))"
737,71:28:020201:220,"MULTIPOLYGON (((4288823.702897 7163691.87208585, 4288861.43139549 7163683.32778109, 4288879.53995027 7163678.45524689, 4288881.24786806 7163677.0174655, 4288887.17769553 7163675.46294291, 4288880.84672639 7163639.09168448, 4288877.78290883 7163626.37073379, 4288876.60342597 7163621.40745814, 4288872.32529974 7163622.27316386, 4288873.70749225 7163627.18227827, 4288879.45058259 7163647.51251859, 4288825.38270858 7163661.24181933, 4288826.81697485 7163632.28170689, 4288869.85725709 7163622.82165153, 4288869.74760418 7163622.31329327, 4288822.11303031 7163633.03499773, 4288823.702897 7163691.87208585)))"
738,71:28:020201:221,"MULTIPOLYGON (((4288823.702897 7163691.87208585, 4288861.43139549 7163683.32778109, 4288879.53995027 7163678.45524689, 4288881.24786806 7163677.0174655, 4288887.17769553 7163675.46294291, 4288880.84672639 7163639.09168448, 4288877.78290883 7163626.37073379, 4288876.60342597 7163621.40745814, 4288872.32529974 7163622.27316386, 4288869.85725709 7163622.82165153, 4288869.74760418 7163622.31329327, 4288867.31581295 7163612.06484044, 4288882.47437775 7163608.39441116, 4288874.63773529 7163576.65445964, 4288868.87466626 7163578.01933502, 4288805.87134462 7163593.06062923, 4288812.07814993 7163619.24936075, 4288815.68958044 7163634.47812892, 4288822.11303031 7163633.03499773, 4288823.702897 7163691.87208585)))"
739,71:28:020201:23,"MULTIPOLYGON (((4288873.1229781 7163621.20661062, 4288884.19551034 7163618.75593242, 4288882.39965923 7163611.23493349, 4288871.34409542 7163613.68534275, 4288873.1229781 7163621.20661062)))"
740,71:28:020201:24,"MULTIPOLYGON (((4288899.48689719 7163649.92090424, 4288903.36619681 7163649.58846067, 4288938.49506856 7163646.25298669, 4288940.09875358 7163645.75194427, 4288940.18933384 7163624.24274453, 4288939.73219988 7163612.26333621, 4288919.78228863 7163604.48104172, 4288912.07753195 7163602.05071229, 4288895.59115838 7163603.22555486, 4288893.10310631 7163611.23830177, 4288893.29087364 7163621.16464163, 4288899.48689719 7163649.92090424)))"
741,71:28:020201:3,"MULTIPOLYGON (((4288940.18933384 7163624.24274453, 4288940.09875358 7163645.75194427, 4288945.40609318 7163672.97489575, 4288962.56330682 7163668.01498198, 4288970.41725515 7163668.02863471, 4288975.70746904 7163672.26478731, 4288987.46841124 7163673.73074955, 4289002.42722445 7163670.3012057, 4289027.88617156 7163672.3527234, 4289025.09992994 7163596.63432968, 4288980.24190185 7163600.42781356, 4288948.61713504 7163612.03992277, 4288949.63699377 7163622.02130932, 4288940.18933384 7163624.24274453)))"
742,71:28:020201:5,"MULTIPOLYGON (((4288912.33720379 7163698.68738381, 4288931.18675018 7163695.65643585, 4288938.02435165 7163694.66581136, 4288949.02860392 7163692.18207876, 4288953.81235628 7163691.10441912, 4288949.34084889 7163671.84245738, 4288945.40609318 7163672.97489575, 4288940.09875358 7163645.75194427, 4288938.49506856 7163646.25298669, 4288933.15997028 7163646.77814522, 4288910.97944959 7163650.49003698, 4288902.86146116 7163652.04464269, 4288897.58793622 7163654.35405418, 4288898.59188921 7163657.84088452, 4288901.14305586 7163658.27722176, 4288904.75726658 7163668.20127037, 4288907.81422259 7163678.28702842, 4288908.86407749 7163678.16866552, 4288909.17898586 7163679.88099364, 4288910.23626651 7163685.71332211, 4288912.33720379 7163698.68738381)))"
743,71:28:020201:58,"MULTIPOLYGON (((4289801.73853931 7163471.08687594, 4289830.39314716 7163464.90771762, 4289821.51714387 7163425.50075942, 4289793.38070131 7163432.26679076, 4289795.63054442 7163442.73861108, 4289801.29969719 7163469.05353584, 4289801.73853931 7163471.08687594)))"
744,71:28:020201:60,"MULTIPOLYGON (((4289608.25892803 7163534.79934604, 4289625.31976263 7163531.31875065, 4289653.88516255 7163523.74742603, 4289643.33189869 7163483.32914336, 4289601.84633497 7163494.48612189, 4289608.25892803 7163534.79934604)))"
745,71:28:020201:61,"MULTIPOLYGON (((4289586.66701981 7163542.49934947, 4289605.11395849 7163535.44367063, 4289608.25892803 7163534.79934604, 4289601.84633497 7163494.48612189, 4289580.08998877 7163500.33543397, 4289586.66701981 7163542.49934947)))"
746,71:28:020201:85,"MULTIPOLYGON (((4288825.38270858 7163661.24181933, 4288879.45058259 7163647.51251859, 4288872.32529974 7163622.27316386, 4288826.81697485 7163632.28170689, 4288825.38270858 7163661.24181933)))"
747,71:28:020201:86,"MULTIPOLYGON (((4288953.81235628 7163691.10441912, 4288962.26322129 7163689.13651162, 4288987.18866068 7163683.03536597, 4288985.51421437 7163673.50616684, 4288975.70746904 7163672.26478731, 4288972.54727599 7163669.74668197, 4288959.31788135 7163670.93892894, 4288957.88580229 7163669.38002741, 4288949.34084889 7163671.84245738, 4288953.81235628 7163691.10441912)))"
748,71:28:020201:9,"MULTIPOLYGON (((4288776.14615037 7163549.89578334, 4288782.80985151 7163548.63598405, 4288789.23665977 7163547.41386878, 4288814.10622225 7163543.20146987, 4288834.35302563 7163541.69625067, 4288860.98147186 7163537.15029637, 4288854.94026026 7163512.89751702, 4288843.19532806 7163515.73263069, 4288830.29511627 7163518.44969145, 4288830.16982561 7163518.02659248, 4288801.69799863 7163517.44952057, 4288788.46240075 7163519.3216337, 4288775.2972615 7163521.3626485, 4288776.14615037 7163549.89578334)))"
749,71:28:020201:91,"MULTIPOLYGON (((4288891.94018125 7163757.28924413, 4288920.08847586 7163755.54171435, 4288962.29736594 7163744.93779277, 4288957.67897662 7163726.05204595, 4288950.22224966 7163715.55872075, 4288940.37357557 7163705.05165477, 4288938.22723675 7163695.71679579, 4288879.54238225 7163712.54488704, 4288885.50065028 7163724.86385931, 4288891.94018125 7163757.28924413)))"
750,71:28:020201:92,"MULTIPOLYGON (((4288969.20820083 7163743.19788712, 4289022.40269704 7163730.00814677, 4289017.940311 7163710.25291743, 4289011.73352387 7163680.833604, 4288963.6345873 7163691.15542491, 4288945.14304176 7163694.29988867, 4288946.86199467 7163703.42037127, 4288957.41362659 7163714.40954452, 4288964.54234668 7163724.53391904, 4288969.20820083 7163743.19788712)))"
751,71:28:020201:93,"MULTIPOLYGON (((4289497.62711849 7163599.9659611, 4289556.50612077 7163584.84765516, 4289540.09535339 7163529.8988991, 4289472.92195091 7163547.18698821, 4289497.62711849 7163599.9659611)))"
752,71:28:020201:96,"MULTIPOLYGON (((4289711.35501031 7163532.52094585, 4289724.57183302 7163529.45743034, 4289723.22197062 7163523.39188069, 4289709.95454786 7163526.47318679, 4289711.35501031 7163532.52094585)))"
753,71:28:020201:97,"MULTIPOLYGON (((4289091.75043669 7163712.75762379, 4289102.41258715 7163710.09198019, 4289125.55593281 7163705.02131465, 4289124.81364443 7163702.00647555, 4289120.67329696 7163685.52779473, 4289113.66923051 7163653.94479994, 4289106.78031606 7163616.6644005, 4289078.23239118 7163623.23041952, 4289087.65208677 7163662.91973143, 4289089.90931572 7163672.83086067, 4289091.9244505 7163681.35158816, 4289087.20621116 7163689.9263305, 4289089.69115659 7163702.48630859, 4289091.75043669 7163712.75762379)))"
754,71:28:020204:804,"MULTIPOLYGON (((4289029.82434179 7163634.37349962, 4289118.52741156 7163613.96484123, 4289241.66784517 7163587.25385033, 4289234.77306614 7163522.34571756, 4289234.17899763 7163522.32098943, 4289180.94503932 7163518.66348598, 4289181.59901828 7163508.35009851, 4289052.89907355 7163498.09931602, 4289021.62716876 7163496.34255969, 4289021.75794843 7163501.49210133, 4289024.76588909 7163501.85326214, 4289029.82434179 7163634.37349962)))"
755,71:28:020106:1,"MULTIPOLYGON (((4288421.7326456 7163719.09818027, 4288430.13085527 7163678.55336604, 4288372.00223393 7163663.33668398, 4288349.43903218 7163717.02274222, 4288373.764041 7163724.73875743, 4288421.7326456 7163719.09818027)))"
756,71:28:020106:15,"MULTIPOLYGON (((4288322.38671 7163501.71889525, 4288332.87917087 7163504.548612, 4288335.69372615 7163494.57587501, 4288325.23545633 7163491.76263763, 4288322.38671 7163501.71889525)))"
757,71:28:020106:16,"MULTIPOLYGON (((4288382.23098014 7163553.44628224, 4288362.5938258 7163546.09984009, 4288347.4509425 7163541.99907883, 4288331.34875484 7163587.86515457, 4288317.4033844 7163621.81351247, 4288328.42241558 7163626.87940566, 4288353.21279358 7163637.29153129, 4288382.23098014 7163553.44628224)))"
758,71:28:020106:17,"MULTIPOLYGON (((4288263.96465271 7163600.48770739, 4288248.69690272 7163594.89247622, 4288209.32000692 7163582.34265721, 4288203.89375106 7163581.35554327, 4288170.74372041 7163655.8791319, 4288193.79902406 7163662.68017121, 4288192.9505756 7163667.06288676, 4288202.76074252 7163670.7365115, 4288227.21485015 7163678.04287908, 4288233.67672744 7163663.67790216, 4288235.33676709 7163662.42803076, 4288263.96465271 7163600.48770739)))"
759,71:28:020106:18,"MULTIPOLYGON (((4288502.48320257 7163483.52197412, 4288515.29624779 7163469.67060073, 4288536.4639045 7163460.8070752, 4288507.89628237 7163434.25168908, 4288418.71984197 7163440.4468452, 4288414.70771155 7163445.35458208, 4288454.23475159 7163468.74799165, 4288477.90712608 7163479.2788713, 4288502.48320257 7163483.52197412)))"
760,71:28:020106:2,"MULTIPOLYGON (((4288227.21485015 7163678.04287908, 4288228.29136921 7163678.55327875, 4288228.1434574 7163678.86161052, 4288233.355158 7163681.33124249, 4288233.8148035 7163680.33799107, 4288249.76682177 7163686.29676452, 4288248.80197436 7163689.72917276, 4288257.16467696 7163693.03410673, 4288294.17905346 7163611.75107706, 4288263.96465271 7163600.48770739, 4288235.33676709 7163662.42803076, 4288233.67672744 7163663.67790216, 4288227.21485015 7163678.04287908)))"
761,71:28:020106:202,"MULTIPOLYGON (((4288200.25808545 7163475.31957427, 4288269.65739929 7163495.5481388, 4288271.83346191 7163487.0644908, 4288289.84285531 7163490.06683836, 4288290.88956897 7163486.446222, 4288202.59430084 7163465.11630302, 4288200.25808545 7163475.31957427)))"
762,71:28:020106:21,"MULTIPOLYGON (((4288170.74372041 7163655.8791319, 4288203.89375106 7163581.35554327, 4288141.71644542 7163558.7021411, 4288129.40091168 7163587.28615534, 4288121.67975436 7163605.80190832, 4288116.27814195 7163617.42993798, 4288131.80211385 7163624.24563298, 4288126.51074913 7163638.62634656, 4288129.22496839 7163639.7404978, 4288139.58481696 7163643.8647423, 4288149.18468068 7163648.20476374, 4288170.74372041 7163655.8791319)))"
763,71:28:020106:68,"MULTIPOLYGON (((4288219.10890158 7163711.20391468, 4288247.54920779 7163721.79799746, 4288257.37897036 7163698.1314844, 4288226.64643055 7163687.38594196, 4288219.10890158 7163711.20391468)))"
764,71:28:020106:7,"MULTIPOLYGON (((4288328.42241558 7163626.87940566, 4288305.01542025 7163689.65739577, 4288354.8877435 7163704.06749159, 4288372.00223393 7163663.33668398, 4288362.21122759 7163658.71085031, 4288363.64316522 7163653.67298937, 4288374.09721921 7163659.49569742, 4288380.96261556 7163650.41206592, 4288353.21279358 7163637.29153129, 4288328.42241558 7163626.87940566)))"
765,71:28:020106:77,"MULTIPOLYGON (((4288412.94929963 7163554.50009437, 4288416.523355 7163539.89094216, 4288427.45009375 7163543.37688929, 4288422.9325215 7163559.49686679, 4288457.92836982 7163575.02091011, 4288477.66783568 7163516.49975188, 4288490.42441625 7163497.88870386, 4288478.88814803 7163487.88359759, 4288407.60058707 7163456.34596188, 4288361.93019759 7163525.07867589, 4288379.6432635 7163539.646773, 4288412.94929963 7163554.50009437)))"
766,71:28:020106:78,"MULTIPOLYGON (((4288478.88814803 7163487.88359759, 4288474.65839681 7163484.19181839, 4288452.51015224 7163473.50126148, 4288412.30834202 7163449.25120266, 4288407.60058707 7163456.34596188, 4288478.88814803 7163487.88359759)))"
767,71:28:020106:88,"MULTIPOLYGON (((4288288.50797024 7163502.49890593, 4288305.80147258 7163508.57266063, 4288312.72534958 7163510.98165054, 4288313.84950559 7163506.88376763, 4288320.86749991 7163481.30617094, 4288322.57120367 7163475.1931014, 4288323.44464121 7163474.63550549, 4288330.19987378 7163476.00997004, 4288335.56480263 7163451.03614102, 4288301.16988193 7163443.62933895, 4288288.50797024 7163502.49890593)))"
768,71:28:020106:89,"MULTIPOLYGON (((4288433.58574516 7163438.70309904, 4288448.48898858 7163400.9320709, 4288270.49621363 7163333.23670884, 4288255.54110584 7163370.99087425, 4288433.58574516 7163438.70309904)))"
769,71:28:020106:90,"MULTIPOLYGON (((4288236.42694201 7163400.83580464, 4288402.90899476 7163463.3894684, 4288407.60032468 7163456.32896413, 4288412.30834202 7163449.25120266, 4288452.51015224 7163473.50126148, 4288474.65839681 7163484.19181839, 4288478.88788549 7163487.86659978, 4288482.89350748 7163491.32383013, 4288491.05417796 7163481.55711928, 4288477.90712608 7163479.2788713, 4288454.23475159 7163468.74799165, 4288414.70771155 7163445.35458208, 4288418.71984197 7163440.4468452, 4288507.89628237 7163434.25168908, 4288531.86882631 7163456.52594745, 4288592.90557374 7163432.81273885, 4288413.88053879 7163066.54255605, 4288414.63731507 7162980.42132608, 4288410.81319644 7162978.81455666, 4288390.87798344 7163026.79406509, 4288371.31891082 7163073.88392776, 4288351.75934481 7163120.95702592, 4288332.19980995 7163168.04735349, 4288312.63978178 7163215.12091635, 4288293.07978468 7163262.21170885, 4288273.51955643 7163309.30273386, 4288253.95883496 7163356.37699384, 4288236.42694201 7163400.83580464), (4288433.58574516 7163438.70309904, 4288255.54110584 7163370.99087425, 4288270.49621363 7163333.23670884, 4288448.48898858 7163400.9320709, 4288433.58574516 7163438.70309904)))"
770,71:28:020105:10,"MULTIPOLYGON (((4286871.15411791 7162257.41421257, 4286874.92014022 7162261.92933749, 4286879.47510262 7162258.11975666, 4286875.70907956 7162253.60463609, 4286871.15411791 7162257.41421257)))"
771,71:28:020105:12,"MULTIPOLYGON (((4287299.56122924 7162692.47755094, 4287546.04169611 7162778.27730431, 4287624.76141918 7162463.41452301, 4287357.2191518 7162379.40649539, 4287299.56122924 7162692.47755094)))"
772,71:28:020105:13,"MULTIPOLYGON (((4287297.65145291 7162971.24643171, 4287458.52282206 7163049.509632, 4287537.87547041 7162828.65623853, 4287349.34782426 7162749.47906675, 4287297.65145291 7162971.24643171)))"
773,71:28:020105:15,"MULTIPOLYGON (((4286527.88448542 7162904.25679441, 4287380.15802403 7163280.89401901, 4287404.35221223 7163227.03562994, 4287425.19654715 7163180.40356949, 4287450.52817626 7163124.43708336, 4287470.75890125 7163077.64493234, 4287474.46916854 7163069.61437332, 4287233.6343123 7162959.78539304, 4287329.55845604 7162297.43559693, 4287160.43328513 7162233.9912589, 4286928.72854253 7162140.39456841, 4286881.70244664 7162107.16796534, 4286866.67895113 7162092.8639654, 4286613.85296704 7162507.91050362, 4286489.08429713 7162460.39782028, 4286378.33961102 7162708.75624678, 4286527.88448542 7162904.25679441), (4286871.15411791 7162257.41421257, 4286875.70907956 7162253.60463609, 4286879.47510262 7162258.11975666, 4286874.92014022 7162261.92933749, 4286871.15411791 7162257.41421257), (4286997.9328048 7162410.04733683, 4287003.29104855 7162405.52831899, 4287007.71451213 7162410.88336512, 4287002.35652665 7162415.41938462, 4286997.9328048 7162410.04733683), (4287062.49838774 7162972.15345326, 4287055.80669723 7162970.45400333, 4287057.76796778 7162964.49066371, 4287064.45965364 7162966.19011073, 4287062.49838774 7162972.15345326), (4287096.50821573 7162773.5074255, 4287089.88425427 7162771.79000882, 4287091.82667751 7162765.70809627, 4287098.45089381 7162767.44250636, 4287096.50821573 7162773.5074255), (4287125.49260289 7162912.21163594, 4287121.5969688 7162911.45538453, 4287123.56603563 7162901.56481176, 4287127.41079382 7162902.32184194, 4287125.49260289 7162912.21163594), (4287133.05329772 7162564.406366, 4287126.06252885 7162565.31263724, 4287125.21053775 7162558.3897605, 4287132.18460389 7162557.50074695, 4287133.05329772 7162564.406366), (4287154.60695489 7162712.97895529, 4287150.76202679 7162712.20495951, 4287151.5170054 7162708.33432715, 4287155.37862867 7162709.09106572, 4287154.60695489 7162712.97895529), (4287188.70916818 7162498.40879322, 4287184.84764492 7162497.65209027, 4287185.61980308 7162493.79829492, 4287189.46410861 7162494.53826172, 4287188.70916818 7162498.40879322), (4287219.90077237 7162287.71380526, 4287223.74524038 7162288.47073222, 4287222.99033562 7162292.34116629, 4287219.1458658 7162291.58423861, 4287219.90077237 7162287.71380526)))"
774,71:28:020105:2,"MULTIPOLYGON (((4287125.49260289 7162912.21163594, 4287127.41079382 7162902.32184194, 4287123.56603563 7162901.56481176, 4287121.5969688 7162911.45538453, 4287125.49260289 7162912.21163594)))"
775,71:28:020105:3,"MULTIPOLYGON (((4287154.60695489 7162712.97895529, 4287155.37862867 7162709.09106572, 4287151.5170054 7162708.33432715, 4287150.76202679 7162712.20495951, 4287154.60695489 7162712.97895529)))"
776,71:28:020105:4,"MULTIPOLYGON (((4287188.70916818 7162498.40879322, 4287189.46410861 7162494.53826172, 4287185.61980308 7162493.79829492, 4287184.84764492 7162497.65209027, 4287188.70916818 7162498.40879322)))"
777,71:28:020105:6,"MULTIPOLYGON (((4287062.49838774 7162972.15345326, 4287064.45965364 7162966.19011073, 4287057.76796778 7162964.49066371, 4287055.80669723 7162970.45400333, 4287062.49838774 7162972.15345326)))"
778,71:28:020105:7,"MULTIPOLYGON (((4287096.50821573 7162773.5074255, 4287098.45089381 7162767.44250636, 4287091.82667751 7162765.70809627, 4287089.88425427 7162771.79000882, 4287096.50821573 7162773.5074255)))"
779,71:28:020105:8,"MULTIPOLYGON (((4287126.06252885 7162565.31263724, 4287133.05329772 7162564.406366, 4287132.18460389 7162557.50074695, 4287125.21053775 7162558.3897605, 4287126.06252885 7162565.31263724)))"
780,71:28:020105:9,"MULTIPOLYGON (((4286997.9328048 7162410.04733683, 4287002.35652665 7162415.41938462, 4287007.71451213 7162410.88336512, 4287003.29104855 7162405.52831899, 4286997.9328048 7162410.04733683)))"
781,71:28:020104:49,"MULTIPOLYGON (((4286180.30917391 7162797.28513401, 4286212.77051746 7162734.51873961, 4286218.25753712 7162721.66800973, 4286165.29779265 7162693.11509248, 4286149.00462564 7162772.99218612, 4286144.93510252 7162784.25734338, 4286150.44821992 7162786.55347679, 4286149.35816426 7162788.49110789, 4286158.89422566 7162792.12003112, 4286164.33617706 7162794.19623576, 4286165.20347254 7162792.10898907, 4286169.35996833 7162792.18171602, 4286167.36480401 7162794.83014485, 4286172.10740617 7162796.64498542, 4286173.24424876 7162795.55665503, 4286177.82651378 7162796.86392228, 4286178.76863018 7162796.35656814, 4286180.30917391 7162797.28513401)))"
782,71:28:010605:112,"MULTIPOLYGON (((4291751.70745025 7163507.2963064, 4291785.06435446 7163506.78172743, 4291785.13583634 7163454.61869908, 4291751.33689592 7163455.0553107, 4291751.09708293 7163455.97723257, 4291750.89367306 7163470.95913178, 4291751.02178476 7163492.94057514, 4291751.70745025 7163507.2963064)))"
783,71:28:010605:30,"MULTIPOLYGON (((4291790.81718116 7163515.49706323, 4291737.13198118 7163515.55347582, 4291737.82062786 7163544.003892, 4291789.2508087 7163570.72769636, 4291790.81718116 7163515.49706323)))"
784,71:28:010605:215,"MULTIPOLYGON (((4292340.5706893 7163233.46413407, 4292352.2811215 7163233.88870799, 4292374.71292576 7163233.34252519, 4292409.64252171 7163233.66719452, 4292410.83253014 7163206.17391768, 4292393.48950809 7163207.7947968, 4292340.20756251 7163208.54593521, 4292340.65365804 7163225.89718685, 4292340.5706893 7163233.46413407)))"
785,71:28:010605:82,"MULTIPOLYGON (((4292047.4652128 7163360.11989742, 4292115.87457455 7163359.129011, 4292116.07329959 7163333.23234246, 4292048.12600859 7163333.39977184, 4292047.4652128 7163360.11989742)))"
786,71:28:010605:7,"MULTIPOLYGON (((4291852.20884422 7163506.17032654, 4291854.95713888 7163506.19450742, 4291875.77257669 7163506.35558996, 4291885.89036661 7163505.80316118, 4291890.64781889 7163499.89559795, 4291894.97461028 7163456.18265999, 4291887.57875852 7163456.16462167, 4291887.05436566 7163455.18687805, 4291870.58031306 7163454.95658745, 4291854.55256539 7163455.05918241, 4291854.35342551 7163456.40550562, 4291850.93033494 7163456.61310984, 4291852.00964636 7163476.52211385, 4291853.04044426 7163501.92357446, 4291852.20884422 7163506.17032654)))"
787,71:28:010605:110,"MULTIPOLYGON (((4291818.8788527 7163506.24270982, 4291852.20884422 7163506.17032654, 4291853.04044426 7163501.92357446, 4291852.00964636 7163476.52211385, 4291850.93033494 7163456.61310984, 4291817.16068839 7163455.68938776, 4291818.8788527 7163506.24270982)))"
788,71:28:010605:111,"MULTIPOLYGON (((4291785.06435446 7163506.78172743, 4291818.8788527 7163506.24270982, 4291817.16068839 7163455.68938776, 4291816.67723298 7163455.15303543, 4291802.26666504 7163454.54966764, 4291785.13583634 7163454.61869908, 4291785.06435446 7163506.78172743)))"
789,71:28:010605:257,"MULTIPOLYGON (((4291712.8203227 7163179.34243726, 4291716.08720908 7163293.38676236, 4291764.52025234 7163294.87631156, 4291883.79173464 7163303.10767537, 4291891.0515112 7163133.25030573, 4291884.96185851 7163131.08628533, 4291776.15385794 7163167.48655427, 4291771.27692323 7163170.13146442, 4291761.94315195 7163173.03440716, 4291756.64187467 7163170.31367367, 4291712.8203227 7163179.34243726)))"
790,71:28:010605:37,"MULTIPOLYGON (((4291707.34234304 7163730.3750638, 4291752.71769536 7163731.4204207, 4291752.79584609 7163712.81851052, 4291749.84235923 7163712.69554784, 4291750.15515192 7163678.94084039, 4291707.91472792 7163677.67551993, 4291707.34234304 7163730.3750638)))"
791,71:28:010605:258,"MULTIPOLYGON (((4291831.65074198 7163395.03396693, 4291861.25426592 7163392.11366051, 4291858.78268609 7163326.16963222, 4291821.85632581 7163328.3055721, 4291831.65074198 7163395.03396693)))"
